rank,uid,username,type
1,5729200,畏光゛,提督
2,3493294526958393,萝宝宝の月月,提督
3,424384495,假期の傲罗,提督
4,11965818,我推的钢板,舰长
5,249594967,鬼混少女小福狸,舰长
6,34157994,爱学习的萌新白面包,舰长
7,367346953,洛天启I黑星,舰长
8,65141013,落鹿星,舰长
9,36132907,猫鳄霸,舰长
10,519274401,爱吃面包的幸运鹅,舰长
11,677668473,萝哥の现亦,舰长
12,11933095,靑鋆子,舰长
13,35505931,无是吾,舰长
14,452182553,一条咸化鲨鱼,舰长
15,16174561,凯哥的小菊,舰长
16,509846987,枫浅沐熙,舰长
17,60461156,-我-永远喜欢爱莉希雅,舰长
18,437490940,养马糕手-,舰长
19,484156,欧卡尼亚,舰长
20,164870864,萝宝の橙子,舰长
21,456839656,凌冬寒九,舰长
22,1942864208,卡萝尔Akuma,舰长
23,264489711,北极星夜,舰长
24,1121669110,微の影,舰长
25,189598054,i珂i,舰长
26,1535661,SM丶MM,舰长
27,249454154,白羽落鹰,舰长
28,573508245,鸢华ankou,舰长
29,3546383783037041,浮华于世的冒险人,舰长
30,3546393505433751,爱情是糖捏,舰长
31,591355861,小小空洞骑士,舰长
32,383036333,潇潇无雨声,舰长
33,4738109,绯樱_-,舰长
34,404566288,幻夕hxi,舰长
35,392803366,星月华影,舰长
36,501516075,花語傾城,舰长
37,392082420,V圈守墓人-逆风21314号,舰长
38,3546669796821037,不是内个秋,舰长
39,141675125,卧继而榜影,舰长
40,284142814,e芙芙e,舰长
41,30683849,风凌碧落,舰长
42,507853569,夜浩ya,舰长
43,348832378,DevilFG,舰长
44,645797594,一七那年夏天,舰长
45,445553076,传说中的梓木,舰长
46,3546573613041778,狼来财,舰长
47,416014101,肥灵魅Official,舰长
48,510731579,莫宇没在摸鱼,舰长
49,3546715697187565,龙之梦迷,舰长
50,3546815343364852,梦泽Tokaie,舰长
51,375182702,DD命命子,舰长
52,348827460,姆Q单推人,舰长
53,3546570177906873,風__飛OvO,舰长
54,332609501,十灬六夜,舰长
55,233645397,苏轩然,舰长
