rank,uid,username,type
1,5729200,畏光゛,提督
2,3493294526958393,萝宝の恦月,提督
3,11965818,进口豆汁奶茶,提督
4,249594967,鬼混少女小福狸,舰长
5,34157994,爱面包的萌新白,舰长
6,367346953,洛天启I黑星,舰长
7,36132907,猫鳄霸,舰长
8,519274401,爱吃面包的幸运鹅,舰长
9,677668473,萝哥の现亦,舰长
10,11933095,靑鋆子,舰长
11,35505931,无是吾,舰长
12,424384495,假期の傲罗,舰长
13,509846987,枫浅沐熙,舰长
14,2291936,猫耳克拉里昂,舰长
15,16174561,凯哥的小菊,舰长
16,152425867,戳的人是坏蛋,舰长
17,164870864,萝宝の橙子,舰长
18,1942864208,卡萝尔Akuma,舰长
19,484156,欧卡尼亚,舰长
20,452182553,一条咸化鲨鱼,舰长
21,341044448,QyTitan,舰长
22,437490940,养马糕手-,舰长
23,456839656,凌冬寒九,舰长
24,8394756,美味小年糕,舰长
25,44056096,卡萝尔钛合金钢板,舰长
26,363857729,玉咩咩碳,舰长
27,1535661,SM丶MM,舰长
28,264489711,北极星夜,舰长
29,123729248,天麟夜宇,舰长
30,23235335,韩沐渚,舰长
31,189598054,i珂i,舰长
32,249454154,白羽落鹰,舰长
33,1121669110,微の影,舰长
34,297192189,今天的冬木也很热闹,舰长
35,381421723,幻梦思念,舰长
36,383036333,潇潇无雨声,舰长
37,91285143,星海真帅,舰长
38,3546393505433751,爱情是糖捏,舰长
39,1695619600,阳气四射,舰长
40,3546383783037041,coc疯狂的冒险人,舰长
41,591355861,小小空洞骑士,舰长
42,447525381,MNI俗D,舰长
43,1959670000,鎏槐,舰长
44,381664267,洛丽玛丝_,舰长
45,4738109,绯樱_-,舰长
46,45370284,伊人月千寻,舰长
47,180501594,小克家の苟子,舰长
48,86714297,怎么啥昵称都已存在捏,舰长
49,320761638,该昵称已存在o_oO,舰长
50,196249203,儒雅的会心一笑,舰长
51,573508245,鸢华ankou,舰长
52,473041479,Banana_nanming,舰长
53,474073075,鑫森淼焱三个土,舰长
54,179812137,芯灯绘,舰长
55,323063515,叫我魂魂,舰长
56,392082420,V圈守墓人-逆风21314号,舰长
57,547170297,指尖流沙秋风,舰长
58,501516075,花語傾城,舰长
59,30581097,-110斤-,舰长
60,60461156,-我-永远喜欢爱莉西雅-,舰长
61,3546779247183940,设计喵CatDesign,舰长
62,3546669796821037,清秋的安卓1号机,舰长
63,362517039,逝影灵,舰长
64,672722632,亿穷二白王道长,舰长
65,3546737857792145,岁钟三令,舰长
66,2381340,天璇_メラック_Merak,舰长
67,30683849,风凌碧落,舰长
68,183555979,梦晚洲z,舰长
69,80685995,Alan丶小飞,舰长
70,3546366418619227,司司mmdd,舰长
71,240366288,澪依忻,舰长
72,2135064639,吉吉果王恰面包_,舰长
73,393633878,我只看大雷主播,舰长
74,4213932,猫宗守_Nekosomory,舰长
75,602108812,幽の混分日记,舰长
76,100895707,不安定zzz,舰长
77,355435979,hudbv,舰长
78,1241445627,远长山,舰长
79,617543,Rion天下第一,舰长
80,4120425,イヤホンマン-挤卡版,舰长
