rank,uid,username,type
1,11965818,想要到处乱D的小火柴,总督
2,5729200,畏光゛,提督
3,3493294526958393,萝宝の恦月,提督
4,34157994,爱面包的萌新白,提督
5,11933095,靑鋆子,提督
6,424384495,假期の萤火虫,提督
7,123729248,天麟夜宇,提督
8,249594967,鬼混少女小福狸,舰长
9,2841191,阳光Official,舰长
10,367346953,洛天启I黑星,舰长
11,36132907,猫鳄霸,舰长
12,457009121,一只幻云吖,舰长
13,677668473,萝哥の现亦,舰长
14,35505931,无是吾,舰长
15,290798377,萝宝の树叶,舰长
16,509846987,枫浅沐熙,舰长
17,2291936,猫耳克拉里昂,舰长
18,1942864208,卡萝尔Akuma,舰长
19,16174561,凯哥的小菊,舰长
20,152425867,戳的人是坏蛋,舰长
21,164870864,萝宝の橙子,舰长
22,39014561,YUME_夢-罪恶感满溢了,舰长
23,10064936,沫寒z,舰长
24,484156,欧卡尼亚,舰长
25,384250971,萝宝的骑士长狗狗,舰长
26,437490940,养马糕手-,舰长
27,106797737,yameito,舰长
28,452182553,一条咸化鲨鱼,舰长
29,24050812,今日无事继续睡觉,舰长
30,519274401,CL_LuckyE,舰长
31,38741820,霜月莹墨梅,舰长
32,341044448,QyTitan,舰长
33,9654880,黑脸猫JOJO,舰长
34,1535661,SM丶MM,舰长
35,628854880,伊卡洛斯end,舰长
36,363857729,玉咩咩碳,舰长
37,402132384,辰亦辰时,舰长
38,297192189,今天的冬木也很热闹,舰长
39,23235335,韩沐渚,舰长
40,66952897,秋风阿柒,舰长
41,19006229,鄙人姓馋名猫,舰长
42,264489711,北极星夜,舰长
43,2206033,田居小铃,舰长
44,490962527,照客,舰长
45,7667147,尾刀大师,舰长
46,189598054,i珂i,舰长
47,249454154,白羽落鹰,舰长
48,363297560,乙坂奈绪,舰长
49,383036333,潇潇无雨声,舰长
50,177736688,闻艺wy,舰长
51,85397751,桐桐不会星爆,舰长
52,509184,小白小白小白狼,舰长
53,381421723,幻梦思念,舰长
54,396799678,玻璃剑゜,舰长
55,1810730016,萝宝的凳子,舰长
56,447525381,MNI俗D,舰长
57,37109634,墨白叙画,舰长
58,3546393505433751,爱情是糖捏,舰长
59,1695619600,阳气四射,舰长
60,2998429,啊女开子瓜丷,舰长
61,1121669110,微の影,舰长
62,11393326,CKylin_小凌,舰长
63,1890592621,冬之热,舰长
64,2118208740,枫花_风叶,舰长
65,591355861,小小空洞骑士,舰长
66,3546569880111337,白艾零-寺锦月,舰长
67,1794356398,Dljy渃尘,舰长
68,33056814,萝清秋,舰长
69,1500544767,卡萝尔家的犬云夜,舰长
70,3546383783037041,coc疯狂的冒险人,舰长
71,180501594,疑惑的苟子,舰长
72,1959670000,鎏槐,舰长
73,361000992,v卿云v,舰长
74,1208711886,心念丶背风,舰长
75,188856657,祁唯Whisky,舰长
76,381664267,洛丽玛丝_,舰长
77,404566288,幻夕hxi,舰长
78,392803366,星月华影,舰长
79,367222006,猫奈布丁,舰长
80,4738109,绯樱_-,舰长
81,1600906652,夜天159,舰长
82,4792808,san值直线下降的真寻,舰长
83,2572149,laky0083,舰长
84,86714297,怎么啥昵称都已存在捏,舰长
85,45370284,伊人月千寻,舰长
86,632953570,云笙YL,舰长
87,1825360112,天天只知道摆烂的鲲,舰长
88,356910613,阿洛林xy,舰长
89,501191565,可甜可盐的白墨,舰长
90,18664062,不安分的跳蚤,舰长
91,673501987,輝く花火,舰长
92,196249203,儒雅的会心一笑,舰长
93,419513486,大白给术士,舰长
94,7432993,本是一只小黑子,舰长
95,3546596253895217,藍祤子,舰长
96,419250676,阿金HIGGS,舰长
97,675461757,风萧萧13,舰长
98,1831840416,卡萝尔的小猪,舰长
99,493536913,黑爪猫猫,舰长
100,2038943443,在神之侧之人,舰长
101,404195693,l星萌l,舰长
102,1169667370,北涯先生,舰长
103,471492810,喂鱼丿抽猫,舰长
104,444879945,凌雪冬雏,舰长
105,298389080,わたしは折纸大师,舰长
106,2088282524,SIrius_Office,舰长
107,3546598770477604,不知眠深,舰长
108,12636873,jjacky546,舰长
109,39994637,灰梦烬,舰长
110,1356196765,徐泽魈杨,舰长
111,2036510791,啃盘子的胡堂主,舰长
112,1198634309,喰某人,舰长
113,473796040,宇宙超人傑剋,舰长
114,499288587,画中病缘,舰长
115,1901945481,云月7K,舰长
116,323063515,叫我魂魂,舰长
117,43773897,监控室张姐,舰长
118,1467161233,京城露辉,舰长
119,1315796541,优夜youya,舰长
120,436429937,桀桀桀的龟龟,舰长
121,4115836,人类玉米,舰长
122,52494522,天真可爱的奈奈,舰长
123,3493142026259225,欧趴阿,舰长
124,240366288,澪依忻,舰长
125,1686445868,揅鬱,舰长
126,10670785,就叫我果冻叭,舰长
